Identificador do Aluno,Nome do Aluno,Idade,Gênero,Ano Escolar,Você pratica xadrez regularmente?,Há quanto tempo você joga xadrez?,Qual foi sua média geral nas últimas três avaliações escolares?,Qual foi sua nota na última prova de Matemática?,Qual foi sua nota na última prova de Língua Portuguesa?
0001,Tiago Pereira,7,Masculino,2º Ano,Não,Nunca,6.54,9.59,8.34
0002,Diego Costa,14,Masculino,9º Ano,Não,Nunca,6.4,5.56,8.69
0003,Elisa Dias,17,Feminino,7º Ano,Não,Nunca,7.48,5.85,8.11
0004,Rafael Dias,10,Masculino,5º Ano,Não,Nunca,9.91,9.41,6.45
0005,Laura Júnior,8,Feminino,3º Ano,Sim,mais de 1 ano,5.58,8.63,7.6
0006,Zeca Almeida,9,Masculino,4º Ano,Não,Nunca,9.23,5.58,9.63
0007,Henrique Vieira,11,Masculino,6º Ano,Não,Nunca,8.36,6.33,5.25
0008,Isabela Almeida,10,Feminino,5º Ano,Sim,mais de 1 ano,5.85,8.34,5.48
0009,Tiago Silva,18,Masculino,8º Ano,Não,Nunca,5.71,7.54,9.97
0010,Fernando Costa,17,Masculino,7º Ano,Sim,mais de 1 ano,5.83,7.51,8.11
0011,Laura Martins,7,Feminino,2º Ano,Sim,Nunca,7.94,8.34,7.55
0012,Tiago Teixeira,18,Masculino,8º Ano,Não,Nunca,6.24,9.29,8.17
0013,Gabriela Vieira,10,Feminino,5º Ano,Sim,mais de 1 ano,8.26,9.51,9.37
0014,Laura Queiroz,10,Feminino,5º Ano,Não,Nunca,5.58,9.18,9.39
0015,Natália Queiroz,8,Feminino,3º Ano,Não,Nunca,9.5,7.36,6.57
0016,Ana Júnior,10,Feminino,5º Ano,Não,Nunca,7.99,7.37,5.91
0017,Gabriela Júnior,14,Feminino,9º Ano,Não,Nunca,7.44,7.42,8.15
0018,Gabriela Henrique,7,Feminino,2º Ano,Não,Nunca,9.84,8.2,6.99
0019,Zeca Costa,9,Masculino,4º Ano,Não,Nunca,8.01,9.12,7.57
0020,Sofia Nogueira,11,Feminino,6º Ano,Não,Nunca,6.38,8.46,7.59
0021,Marcos Costa,18,Masculino,8º Ano,Sim,mais de 1 ano,9.14,9.67,6.43
0022,Patrícia Barbosa,16,Feminino,6º Ano,Não,Nunca,6.01,9.87,5.94
0023,Gabriela Zanetti,16,Feminino,6º Ano,Sim,mais de 1 ano,7.81,5.14,9.95
0024,Sofia Júnior,6,Feminino,1º Ano,Não,Nunca,6.23,9.15,7.67
0025,Vivian Barbosa,18,Feminino,8º Ano,Não,Nunca,8.59,9.01,6.36
0026,Otávio Gomes,17,Masculino,7º Ano,Não,Nunca,5.27,7.29,8.27
0027,Laura Pereira,18,Feminino,8º Ano,Não,Nunca,6.58,6.05,8.07
0028,João Barbosa,13,Masculino,8º Ano,Não,Nunca,6.52,7.7,7.79
0029,Marcos Júnior,8,Masculino,3º Ano,Sim,mais de 1 ano,5.88,5.42,8.02
0030,Vivian Oliveira,13,Feminino,8º Ano,Não,Nunca,9.51,7.47,5.64
0031,Carla Almeida,7,Feminino,2º Ano,Sim,Nunca,5.11,8.0,9.52
0032,Elisa Teixeira,8,Feminino,3º Ano,Não,Nunca,6.62,5.09,8.1
0033,Isabela Costa,11,Feminino,6º Ano,Não,Nunca,7.5,5.08,8.06
0034,Vivian Ramos,18,Feminino,8º Ano,Não,Nunca,9.63,9.96,5.58
0035,Carla Júnior,16,Feminino,6º Ano,Sim,Nunca,8.4,6.04,6.98
0036,Isabela Oliveira,14,Feminino,9º Ano,Sim,Nunca,5.7,7.52,6.3
0037,Ana Silva,15,Feminino,10º Ano,Não,Nunca,8.74,8.45,6.56
0038,Fernando Ibarra,6,Masculino,1º Ano,Não,Nunca,9.85,7.92,8.26
0039,Ana Barbosa,6,Feminino,1º Ano,Sim,mais de 1 ano,9.9,8.91,9.13
0040,Natália Teixeira,17,Feminino,7º Ano,Sim,mais de 1 ano,5.7,7.54,6.46
0041,Carla Nogueira,15,Feminino,10º Ano,Não,Nunca,6.37,9.37,9.96
0042,Marcos Vieira,13,Masculino,8º Ano,Não,Nunca,6.15,9.82,5.75
0043,Laura Queiroz,8,Feminino,3º Ano,Não,Nunca,9.22,7.32,6.54
0044,Zeca Zanetti,18,Masculino,8º Ano,Não,Nunca,7.48,9.72,9.79
0045,Sofia Silva,17,Feminino,7º Ano,Não,Nunca,6.17,8.88,7.78
0046,Rafael Teixeira,16,Masculino,6º Ano,Não,Nunca,5.46,9.18,8.57
0047,Gabriela Vieira,13,Feminino,8º Ano,Não,Nunca,9.15,6.91,8.85
0048,Diego Martins,18,Masculino,8º Ano,Sim,mais de 1 ano,7.44,8.84,7.68
0049,Bruno Ramos,6,Masculino,1º Ano,Sim,Nunca,9.16,7.06,7.19
0050,Fernando Júnior,7,Masculino,2º Ano,Não,Nunca,5.19,5.17,8.41
0051,Rafael Queiroz,14,Masculino,9º Ano,Não,Nunca,7.1,7.27,9.7
0052,Ana Fernandes,10,Feminino,5º Ano,Não,Nunca,5.37,6.74,5.55
0053,Ana Vieira,6,Feminino,1º Ano,Não,Nunca,5.95,9.84,9.73
0054,Carla Martins,9,Feminino,4º Ano,Não,Nunca,5.8,7.27,7.05
0055,Zeca Vieira,6,Masculino,1º Ano,Não,Nunca,6.15,6.12,6.68
0056,Natália Fernandes,15,Feminino,10º Ano,Não,Nunca,8.88,8.94,9.36
0057,Elisa Martins,10,Feminino,5º Ano,Não,Nunca,5.18,7.49,7.2
0058,Tiago Pereira,18,Masculino,8º Ano,Não,Nunca,6.37,8.44,6.57
0059,Natália Pereira,6,Feminino,1º Ano,Não,Nunca,7.93,8.62,8.37
0060,Patrícia Gomes,12,Feminino,7º Ano,Não,Nunca,9.51,6.31,7.71
0061,Natália Costa,9,Feminino,4º Ano,Não,Nunca,6.04,7.67,5.12
0062,Vivian Gomes,7,Feminino,2º Ano,Não,Nunca,8.4,5.19,8.68
0063,Ana Costa,6,Feminino,1º Ano,Não,Nunca,8.94,5.51,8.25
0064,Zeca Zanetti,16,Masculino,6º Ano,Sim,mais de 1 ano,7.21,9.41,7.19
0065,Gabriela Júnior,6,Feminino,1º Ano,Não,Nunca,8.16,8.7,6.03
